#TIME	REQUESTED	slurm_script-23628	sps-23631	taskprolog.sh-23632	R-23645	R-23650	R-23651
1	3	0.000000	0.023622	0	0.648649	0	0
2	3	0.000000	0.027523	0	0.659164	0.692308	0.692308
3	3	0.000000	0.026565	0	0.401174	0.932540	0.912698
4	3	0.000000	0.022975	0	0.252774	0.788043	0.777174
5	3	0.000000	0.024343	0	0.202770	0.845745	0.832447
6	3	0.000000	0.026080	0	0.169282	0.876050	0.866597
7	3	0.000000	0.025929	0	0.145287	0.896701	0.888021
8	3	0.000000	0.027044	0	0.127250	0.912722	0.903107
9	3	0.000000	0.027367	0	0.113197	0.924613	0.913660
10	3	0.000000	0.027627	0	0.101939	0.933219	0.921804
11	3	0.000000	0.027391	0	0.092718	0.939037	0.928791
12	3	0.000000	0.028018	0	0.085027	0.943773	0.933086
13	3	0.000000	0.028169	0	0.078514	0.947704	0.937500
14	3	0.000000	0.028299	0	0.072928	0.951802	0.942006
15	3	0.000000	0.028411	0	0.068084	0.955305	0.945131
16	3	0.000000	0.028200	0	0.063843	0.957656	0.948510
17	3	0.000000	0.028305	0	0.060100	0.960025	0.950825
18	3	0.000000	0.027636	0	0.055241	0.934531	0.925261
19	3	0.000000	0.027247	0	0.052416	0.937295	0.928532
20	3	0.000000	0.027138	0	0.049866	0.939772	0.931205
21	3	0.000000	0.027040	0	0.047553	0.942498	0.934107
22	3	0.000000	0.026949	0	0.045444	0.944967	0.936736
23	3	0.000000	0.027078	0	0.043515	0.947439	0.938455
24	3	0.000000	0.027197	0	0.041743	0.949484	0.940671
25	3	0.000000	0.027306	0	0.040110	0.951154	0.942704
26	3	0.000000	0.027408	0	0.038599	0.952890	0.944181
27	3	0.000000	0.027501	0	0.037198	0.954303	0.945545
28	3	0.000000	0.027589	0	0.035896	0.955796	0.947175
29	3	0.000000	0.027670	0	0.034681	0.957006	0.948691
30	3	0.000000	0.027746	0	0.033546	0.958305	0.949932
31	3	0.000000	0.027817	0	0.032483	0.960013	0.951256
32	3	0.000000	0.027463	0	0.031009	0.946159	0.937657
33	3	0.000000	0.027538	0	0.030098	0.947650	0.939408
34	3	0.000000	0.027608	0	0.029240	0.949052	0.940906
35	3	0.000000	0.027536	0	0.028429	0.950230	0.942175
36	3	0.000000	0.027602	0	0.027662	0.951063	0.943372
37	3	0.000000	0.027272	0	0.026935	0.951714	0.944641
38	3	0.000000	0.027086	0	0.026245	0.952993	0.945842
39	3	0.000000	0.027034	0	0.025590	0.954205	0.947110
40	3	0.000000	0.026984	0	0.024967	0.955106	0.948063
41	3	0.000000	0.027056	0	0.024373	0.955962	0.948970
42	3	0.000000	0.027008	0	0.023807	0.956657	0.949952
43	3	0.000000	0.026963	0	0.023266	0.957905	0.951123
44	3	0.000000	0.027141	0	0.022750	0.958752	0.951897
45	3	0.000000	0.027094	0	0.022256	0.959562	0.952860
46	3	0.000000	0.027156	0	0.021783	0.960337	0.953562
47	3	0.000000	0.026935	0	0.021110	0.950804	0.944139
48	3	0.000000	0.026997	0	0.020684	0.951720	0.945089
49	3	0.000000	0.027056	0	0.020275	0.952598	0.946001
50	3	0.000000	0.026920	0	0.019882	0.953343	0.946777
51	3	0.000000	0.026978	0	0.019503	0.954253	0.947718
52	3	0.000000	0.026941	0	0.019139	0.954746	0.948431
53	3	0.000000	0.027089	0	0.018788	0.955595	0.949305
54	3	0.000000	0.027051	0	0.018450	0.956414	0.949963
55	3	0.000000	0.027103	0	0.018124	0.957021	0.950597
56	3	0.000000	0.027154	0	0.017809	0.957785	0.951298
57	3	0.000000	0.027202	0	0.017505	0.958435	0.951973
58	3	0.000000	0.027249	0	0.017211	0.959234	0.952540
59	3	0.000000	0.027294	0	0.016927	0.959838	0.953172
60	3	0.000000	0.027338	0	0.016652	0.960504	0.953701
61	3	0.000000	0.027164	0	0.016256	0.953368	0.946648
62	3	0.000000	0.027052	0	0.016002	0.953952	0.947259
63	3	0.000000	0.027021	0	0.015756	0.954595	0.947773
64	3	0.000000	0.027141	0	0.015517	0.955142	0.948348
65	3	0.000000	0.027184	0	0.015286	0.955748	0.949057
66	3	0.000000	0.027079	0	0.015061	0.956336	0.949670
67	3	0.000000	0.027121	0	0.014843	0.956981	0.950266
68	3	0.000000	0.027162	0	0.014631	0.957606	0.950771
69	3	0.000000	0.027132	0	0.014425	0.957999	0.951118
70	3	0.000000	0.027171	0	0.014225	0.958663	0.951738
71	3	0.000000	0.027142	0	0.014031	0.959169	0.952341
72	3	0.000000	0.027045	0	0.013841	0.959662	0.952790
73	3	0.000000	0.027085	0	0.013657	0.960141	0.953294
74	3	0.000000	0.027057	0	0.013477	0.960674	0.953719
75	3	0.000000	0.027095	0	0.013302	0.961127	0.954131
76	3	0.000000	0.027024	0	0.013048	0.955281	0.948421
77	3	0.000000	0.026998	0	0.012884	0.955788	0.948761
78	3	0.000000	0.027035	0	0.012724	0.956157	0.949281
